pmid|biotype|identifier_type
11801603|molecular interactions|pmid
23399713|disease|pmid
28933784|molecular interactions|pmid
28709980|molecular interactions|pmid
24999993|molecular interactions|pmid
12924942|molecular interactions|pmid
26472758|molecular interactions|pmid
23750007|molecular interactions|pmid
12062043|molecular interactions|pmid
33705388|molecular interactions|pmid
"24316715|doi:10.1038/nchembio.1432|imex:IM-22415"|molecular interactions|pmid
21048196|molecular interactions|pmid
"22300583|imex:IM-20589"|molecular interactions|pmid
19055478|disease|pmid
"20860623|imex:IM-15625|mint:MINT-7990277|doi:10.1111/j.1742-4658.2010.07820"|molecular interactions|pmid
17154176|disease|pmid
"imex:IM-22245|24219989"|molecular interactions|
10654609|molecular interactions|pmid
12487626|molecular interactions|pmid
12042299|molecular interactions|pmid
1614537|molecular interactions|pmid
30590033|molecular interactions|pmid
11932251|molecular interactions|pmid
17382325|molecular interactions|pmid
19696166|molecular interactions|pmid
9100675|disease|pmid
1383329|molecular interactions|pmid
26839216|molecular interactions|pmid
10684602|molecular interactions|pmid
16620556|disease|pmid
12359306|molecular interactions|pmid
20167603|molecular interactions|pmid
22158035|molecular interactions|pmid
11784792|molecular interactions|pmid
9641683|disease|pmid
34708885|disease|pmid
34251356|molecular interactions|pmid
25944162|disease|pmid
21763205|disease|pmid
9153281|disease|pmid
9852052|molecular interactions|pmid
19455410|disease|pmid
"16530190|imex:IM-11333|mint:MINT-5218426"|molecular interactions|pmid
17336575|molecular interactions|pmid
27528885|disease|pmid
10898789|molecular interactions|pmid
10230407|molecular interactions|pmid
29288164|molecular interactions|pmid
28414322|molecular interactions|pmid
"imex:IM-25623|27332895"|molecular interactions|
31906887|disease|pmid
23698369|molecular interactions|pmid
27391343|molecular interactions|pmid
7914110|disease|pmid
9254654|molecular interactions|pmid
9271389|molecular interactions|pmid
12135564|molecular interactions|pmid
21862610|disease|pmid
15837933|molecular interactions|pmid
21467131|disease|pmid
29301498|molecular interactions|pmid
11919189|molecular interactions|pmid
11527649|disease|pmid
"24132237|doi:""https://doi.org/10.1038/nature12611""|imex:IM-21926"|molecular interactions|pmid
"22662192|imex:IM-20968"|molecular interactions|pmid
11042679|molecular interactions|pmid
12808128|molecular interactions|pmid
29328457|disease|pmid
12153727|molecular interactions|pmid
"mint:MINT-5216162|12606711"|molecular interactions|
17955262|molecular interactions|pmid
18948538|molecular interactions|pmid
18480432|molecular interactions|pmid
25681686|molecular interactions|pmid
19617589|molecular interactions|pmid
23768491|molecular interactions|pmid
8326460|disease|pmid
17467279|disease|pmid
33329596|molecular interactions|pmid
11751684|molecular interactions|pmid
33728863|molecular interactions|pmid
"16442803|doi:10.1016/j.str.2006.01.001|imex:IM-8325"|molecular interactions|pmid
22311043|disease|pmid
"19935702|mint:MINT-8009429|doi:10.1038/onc.2009.382"|molecular interactions|pmid
18566411|molecular interactions|pmid
19263517|molecular interactions|pmid
25512374|molecular interactions|pmid
26556313|molecular interactions|pmid
17213819|molecular interactions|pmid
33468080|molecular interactions|pmid
32694731|molecular interactions|pmid
17875722|molecular interactions|pmid
31533041|molecular interactions|pmid
23043710|disease|pmid
33990333|molecular interactions|pmid
25143387|molecular interactions|pmid
31059266|molecular interactions|pmid
10720483|disease|pmid
20516149|molecular interactions|pmid
22522847|disease|pmid
21825134|molecular interactions|pmid
