source,target,relationship
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_21_020_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_56-ref_cortex_of_kidney,Donor/56-ref,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_56-ref_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_57-ref_cortex_of_kidney,Donor/57-ref,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_57-ref_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_HCA_29_ref_cortex_of_kidney,Donor/HCA_29_ref,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_HCA_29_ref_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_HCA_51_ref_cortex_of_kidney,Donor/HCA_51_ref,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_HCA_51_ref_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_HCA_54_ref_cortex_of_kidney,Donor/HCA_54_ref,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_HCA_54_ref_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_HCA_55_ref_cortex_of_kidney,Donor/HCA_55_ref,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_HCA_55_ref_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_PRECISE_023_N_cortex_of_kidney,Donor/PRECISE_023_N,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_PRECISE_023_N_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_PRECISE165536-000-003N_cortex_of_kidney,Donor/PRECISE165536-000-003N,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_PRECISE165536-000-003N_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_PRECISE-943776_cortex_of_kidney,Donor/PRECISE-943776,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_PRECISE-943776_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_PRECISE-945420_cortex_of_kidney,Donor/PRECISE-945420,hasDonor
Dataset/0b4a15a7-4e9e-4555-9733-2423e5c66469_PRECISE-945420_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3499_renal_medulla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3499_renal_medulla,Donor/3499,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3499_renal_medulla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3504_renal_medulla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3504_renal_medulla,Donor/3504,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3504_renal_medulla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3535_cortex_of_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3535_cortex_of_kidney,Donor/3535,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3535_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3535_renal_medulla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3535_renal_medulla,Donor/3535,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3535_renal_medulla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3593_renal_medulla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3593_renal_medulla,Donor/3593,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3593_renal_medulla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3593_renal_papilla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3593_renal_papilla,Donor/3593,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3593_renal_papilla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3613_renal_papilla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3613_renal_papilla,Donor/3613,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_3613_renal_papilla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP446_cortex_of_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP446_cortex_of_kidney,Donor/KRP446,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP446_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP446_renal_papilla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP446_renal_papilla,Donor/KRP446,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP446_renal_papilla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP460_cortex_of_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP460_cortex_of_kidney,Donor/KRP460,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP460_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP460_renal_papilla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP460_renal_papilla,Donor/KRP460,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP460_renal_papilla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP461_cortex_of_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP461_cortex_of_kidney,Donor/KRP461,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP461_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP462_cortex_of_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP462_cortex_of_kidney,Donor/KRP462,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP462_cortex_of_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP462_renal_papilla,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP462_renal_papilla,Donor/KRP462,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_KRP462_renal_papilla,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE018-1_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE018-1_kidney,Donor/PRE018-1,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE018-1_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE019_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE019_kidney,Donor/PRE019,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE019_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE027_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE027_kidney,Donor/PRE027,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE027_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE038_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE038_kidney,Donor/PRE038,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE038_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE055-1_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE055-1_kidney,Donor/PRE055-1,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE055-1_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE062-1_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE062-1_kidney,Donor/PRE062-1,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE062-1_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE98sc_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE98sc_kidney,Donor/PRE98sc,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_PRE98sc_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO1_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO1_kidney,Donor/Sample1153-EO1,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO1_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO2_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO2_kidney,Donor/Sample1153-EO2,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO2_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO3_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO3_kidney,Donor/Sample1153-EO3,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1153-EO3_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO1_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO1_kidney,Donor/Sample1157-EO1,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO1_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO2_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO2_kidney,Donor/Sample1157-EO2,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO2_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO3_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO3_kidney,Donor/Sample1157-EO3,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1157-EO3_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO1_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO1_kidney,Donor/Sample1158-EO1,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO1_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO2_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO2_kidney,Donor/Sample1158-EO2,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO2_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO3_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO3_kidney,Donor/Sample1158-EO3,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1158-EO3_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1162-EO1_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1162-EO1_kidney,Donor/Sample1162-EO1,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1162-EO1_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1162-EO2_kidney,Publication/10.1101/2021.07.28.454201,linkedToPublication
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1162-EO2_kidney,Donor/Sample1162-EO2,hasDonor
Dataset/0b75c598-0893-4216-afe8-5414cab7739d_Sample1162-EO2_kidney,Organ/UBERON:0002113,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_1_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_1_breast,Donor/HBCA_Donor_1,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_1_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_10_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_10_breast,Donor/HBCA_Donor_10,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_10_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_11_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_11_breast,Donor/HBCA_Donor_11,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_11_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_12_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_12_breast,Donor/HBCA_Donor_12,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_12_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_13_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_13_breast,Donor/HBCA_Donor_13,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_13_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_14_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_14_breast,Donor/HBCA_Donor_14,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_14_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_15_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_15_breast,Donor/HBCA_Donor_15,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_15_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_16_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_16_breast,Donor/HBCA_Donor_16,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_16_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_17_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_17_breast,Donor/HBCA_Donor_17,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_17_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_18_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_18_breast,Donor/HBCA_Donor_18,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_18_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_19_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_19_breast,Donor/HBCA_Donor_19,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_19_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_2_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_2_breast,Donor/HBCA_Donor_2,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_2_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_20_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_20_breast,Donor/HBCA_Donor_20,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_20_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_21_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_21_breast,Donor/HBCA_Donor_21,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_21_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_22_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_22_breast,Donor/HBCA_Donor_22,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_22_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_23_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_23_breast,Donor/HBCA_Donor_23,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_23_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_24_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_24_breast,Donor/HBCA_Donor_24,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_24_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_25_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_25_breast,Donor/HBCA_Donor_25,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_25_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_26_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_26_breast,Donor/HBCA_Donor_26,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_26_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_27_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_27_breast,Donor/HBCA_Donor_27,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_27_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_28_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_28_breast,Donor/HBCA_Donor_28,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_28_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_29_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_29_breast,Donor/HBCA_Donor_29,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_29_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_3_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_3_breast,Donor/HBCA_Donor_3,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_3_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_30_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_30_breast,Donor/HBCA_Donor_30,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_30_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_31_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_31_breast,Donor/HBCA_Donor_31,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_31_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_32_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_32_breast,Donor/HBCA_Donor_32,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_32_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_33_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_33_breast,Donor/HBCA_Donor_33,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_33_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_34_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_34_breast,Donor/HBCA_Donor_34,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_34_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_35_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_35_breast,Donor/HBCA_Donor_35,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_35_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_36_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_36_breast,Donor/HBCA_Donor_36,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_36_breast,Organ/UBERON:0000310,hasOrgan
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_37_breast,Publication/10.1101/2023.04.21.537845,linkedToPublication
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_37_breast,Donor/HBCA_Donor_37,hasDonor
Dataset/0ba636a1-4754-4786-a8be-7ab3cf760fd6_HBCA_Donor_37_breast,Organ/UBERON:0000310,hasOrgan
